Metin_Veri,Kategori
"Çok abartıldığı kadar bir film değil. Hele kesinlikle Yılmaz Erdoğan ın en iyi filmi değil. Ama bu dediklerim filmin sıcak ve sizi saran bir film olmasını değiştirmiyor. Sonuçta sıkmayan , gayet neşeli ve güzel oyunculuğun olduğu iyi bir film.",pozitif
"Bugüne dek izlediğim en iyi Yılmaz Erdoğan filmi ve yine bu yıl izlediğim en iyi film. Tek kelimeyle bir şaheser yaratmış usta bu kez. Vizonteleler, Organize İşler hep başarılı yapımlardı ancak bu bambaşka bir film olmuş. Rıza Şenyurt inanılmaz bir karakter. Tamamen içimizden biri. Harika bir gözlem ve analiz var bu karakteri oynarken Erdoğan da. Varoşlarda yaşayan, namuslu fakat boyundan büyük problemleri olan bir adamın, ailesini ayakta tutmak için verdiği mücadele süper. Karısı rolünde yine harika bir oyunculuk. Geleceğin Demet Akbağ ı geliyor bence. Her başarılı erkeğin ardında bir kadın vardır sözü bu karakter için söylenmiş işte. Anaç bir yapı ve aileyi bir arada tutma görevi üstlenmiş bir regülatör. Rıza Akın başlı başına fenomen. Sinan Bengier yılların deneyimini öyle güzel yansıtmış ki perdeye. Sakin ama bir o kadar da gıcık bir tipi oynuyor. Üstelik mücadelesinde de sonuna kadar haklı. Filmin tek kötü yanı Yılmaz Erdoğan için. Her yapımında ileri gitmek zorunda olduğunu düşünürsek, bundan sonra işi çok ama çok zor olacak. 6,3 gibi bu sitenin üyelerine olan güvenimi temelinden sarsan bir puana rağmen 10 üzerinden 10 hatta 11 diyorum.",pozitif
"Senaryosunun özgünlüğü yani tamamen bize, bu topraklara ait olması,kısıtlı bir bütçeyle zor koşullarda yapılmış olması ve bunun evrensel bir şekilde sunulması filmi bu zamana kadar yapılan en iyi türk filmleri arasına sokmaya yeterli.Oyuncuların performansı da hiç yabana atılacak türden değil. Özellikle filmin sonunda ki çatışma sahnesi çok gerçekçi anlatılmış. Emeği geçen herkesi kutluyorum.",pozitif
"kesinlikle ve kesinlikle, gelmiş geçmiş en iyi türk filmi, çekim teknikleri, anlatım tarzı, doğallığı, sömürü yapmaması ve ülkemzin yerlerde süründüğü aksiyon sahnelerindeki başarısıyla bu film zirvede. Sanıyorum büyük beklentilerle gidenler amerikan tarzı patlayan tanklar,uçaklar ve 500 milyon dolarlık bi yapım bekliyorlar,henüz sektör bile olamamış türk sinemasından bahsediyoruz, ayriyeten bu film kesinlikle salt savaş dan bahsetmiyor,karakterlerin de ruh halleri detaylandırılmış yani piskolojik yanı da var.Gönül rahatlığıyla gidilebilir.",pozitif
"Bir takım Amerikan sineması ve Rambo hayranlarının, konuşmaların anlaşılmadığı, sahnelerin çok karanlık olduğu vb yöndeki eleştirilerini üzüntüyle okudum. Filme burun kıvıranlara tek bir sözüm, filmin son derece gerçekçi ve başarılı olduğu yönündedir. Seslerin ve ışığın kullanımı mükemmeldir. Oyunculuklar ve yönetim de öyle. Filmin sonunda seyircinin psikolojisinin de düşünlmüş olduğu anlaşılmaktadır. Filmin sonundaki geri dönüş bunu açıkça gösteriyor.",pozitif
"Film, basit görünen hikayesinde bile boşluk bırakmadan ilerliyor ve buruk bir tat bırakıyor, insanın içinde. Oyunculuklara gelince genel olarak iyi; fakat Levent Üzümcünün performansının diğerlerinden bir adım önde olduğunu belirtmek gerek.",pozitif
"Türk filmlerine sadece Türk filmi olduğu için pohpohlanmasına karşı olan biri olmama rağmen, diyorum ki mutlaka gidin, hem eğlenmek için illa gülmek gerekmediğini hem de dünyada sizinkilerden başka aklınıza gelmeyen ne dertler kederler varmış görün. Yılmaz Erdoğan ve arkadaşlarını tebrik ediyorum.",pozitif
"Sonu biraz aceleye gelmiş gibi. Ancak bir bütün olarak bakıldığında gerçekten de Yılmaz Erdoğan'ın en başarılı filmi. Çok sağlam bir sinema dili var ve Yılmaz Erdoğan'ın oyunculuğu muhteşem. Yılmaz Erdoğan'ın bütün filmlerinin komedi olması gerektiği sonucuna nerden varıyor insanlar, anlamıyorum. Recep İvedik filmi değil ki bu, niye komik değil diye şikayet ediyor herkes? Sapasağlam adam gibi bir film.",pozitif
"Film gerçekten çok güzeldi. Yapılmış en iyi Türk yapımlarından biriydi. Uzun zamandır bu tarz filmleri bekliyorduk. Bu film terör belasını güzel bir şekilde işlediği gibi, seyir zevki yüksek bir filmdi. Sinemaya gidip de izlemeyen arkadaşlara şiddetle tavsiye ederim.",pozitif
Kötü yorumlara bakarak sakın filme gitmemezlik yapmayın. Tamam film komik değil ama kendine has bir lezzeti var. Çok doğal çok gerçek. Bana eski Kemal Sunal filmlerini anımsattı.oyunculuk hakkında zaten konuşmaya gerek yok Yılmaz Erdoğan'ın gözleri fakir bakmış resmen. Şiddetle tavsiye ederim!,pozitif
Çok ilginç ve değişik bir film. Fazla geveze bir film olmasına rağmen ben bayağı beğendim ödül alması tartışılabilir ama bence fazla diyaloglara takılmazsanız rahatlıkla ilenecek film. Önür Erkan ve Kadir Çermik rollerinde çok başarılılar.,pozitif
Kesinlikle izleyin pişman olmassınız. Öncelikle görüntü yönetmenini tebrik etmek istiyorum gerçekçilik ve açılar muhteşem tam bi görsel şölen.  Filmin başı çok güzel ama ortalara doğru sıkıyor gereğinden fazla uzamış o kısım yada doldurulamamış. Ama öyle bi final var ki yerinize çivileyecek gerçekten böylesi bi durumda olup da bu kadar tarafsız olmalarını beklemezdim. Ne propoganda ne nefret var %100 gerçekler gerçekten uyuyanlar varsa bu film sizi uyandırcak yeni bir Nefes alcaksınız kesinlikle gidin.,pozitif
"Film her yönüyle - oyunculuk, kurgu, senaryo - başarılı.. Fakat filmin en zayıf halkası olan Selen Seyven yerine başka biri oynasaydı çok daha iyi olurdu. Nerden nasıl bu filmin kadrosuna girmiş anlayabilmiş değilim zaten.8/10",pozitif
Filme gelince izlemeden yapılan yorumları ve öbyargıları hemen kibarca bir kenara atıyor izler izmelez. İnsanın kendini tam göbeğinde hissedeceği sıcak ve bizden bir hikayesi var. Hafta sonnu üç filme birden gittim ama bir tek abimden hem gülerek hem de ağlayarak çıkan insnaları görünce anladım ki güzel bir film olnuş ve iyi ki seyretmişim. Şiddetle öneririm görmenizi zira türünde çok deneme var çok azı film olmayı başarailiyor.,pozitif
"arkadaşlar bence bu film çok sıcak bir kardeşlik öyküsü.. ailesinde zihinsel engelli bir yakını olan herkezi etkileyebilecek çok önemli detaylara sahip. öncelikle bu insanların ailelerinden başka kimsesi olmadığını devletimizin bu konudaki eksikliğini,bu özel insanların bize anlamsız gelen ve bizi korkutan bazı hareketlerinin ardında hiçde korkunç hislerinin olmadığını gösteriyor. ve en önemlisi 3 aralık dünya engelliler gününde yapılan galası ile bu konuya dikkat çekmesi bence önemliydi. teşekkürler başarılı ve akıcı bir film. ",pozitif
bu filmin dramı çok güzeldi yeri geldiğinde güldürüp yeri geldiğinde üzünlendiren güzel bir yapım mustafa üstündağ iyidi onu zaten muro karakteriyle beyendik ve değişik filmlerde oynamasıda güzel olmuş çok iyidi diyebiliriz sonu iyi bir senaryo dramıylada iyiydi ,pozitif
"Çok güzel bir film,hem güldürüyor hemde ağlatıyor.Yönetmene ve zihinsel özürlü rolü oynayan levent üzümcüyü tebrik ediyorum.Kendisini avrupa yakasında gereksiz bir tiyatro oyucusu olarak buluyordum taki filmi izleyene kadar.Bu kadar usta bir oyun sergileyebilecek türk oyuncu sayısı 100 ü geçmez.Tebrikler... Gidin ve mutlaka izleyin.Recep ivedik ve kolpaçino severlerde uzak dursun çünkü bu film tarzı onların kapasitesini aşar...",pozitif
"Öncelikle her gördüğünüz ak sakallı dedeniz değil ise her gördüğünüz biri normal olmayan iki arkadaşın yol hikayesi de Rain Man değil.Bu film konu itibariyle izlediyseniz ya d aokuduysanız John Steinbeckin Fareler Ve İnsanlar adlı Hikayesine benziyor.Bu çok eski ve trajik öykünün günümüze uyarlanmasında bir sakınca da görmüyorum.Filmi galasında da izlemeden sadece fragmandan övmek ya da yermek ne kadar akıllıca takdirinize bırakıyorum.Sanırım insanalr yorumlar bölümünü izleyenlerin görüşlerini okumak için açıyorlar ki film hakkında fikir edinsin gidip gitmemeye karar versin.Filme gelince Levent Üzümcü oyunculuğuyla hayran bırakıyor.İçe dokunan bir öyküsü var.Bir şahaser değil; ama yerin dibine batırılacak bir film de değil.İzlerken biraz öyküdeki karakterlerin yerine koyarsak kendimizi filmin aslında belki de daha derin çizse daha başarılı, daha anlaşılır olacak olan öyküsünden etkileniriz.Galasını bilmem;ama benim izlediğim salonda epey eğlendiğini gözlemledim insanların.İzlerken sıkılmadığım samimi bir film.Yaş sınırı gerçekten gerekli bu arada.",pozitif
Bir film sırf eleştirilmek için izlenmez zaten o mantıkla gidersen zevk alamazsın. Bu filmde işlenen konunun dramatik yanını son dönemde hiçbir filmde görmedim açıkcası bundan dolayıdır ki... 10/6 İyi seyirler... ,tarafsiz
"Bu gerçekten 10 üzerinden 10luk bir film.Ama askerlik,şehitler,vatan,millet vs. konularına değindiği için değil; gerçekten oyunculuk,sinematografi,kadrajlar,çekimler,sürükleyicilik,diyaloglar konusunda çok iyi bir film olduğu için.İlk bahsettiğim öğeler filmin gişesini beki 1 değil de 2 yapar ama bu onun kötü bir film olduğunu göstermez.",tarafsiz
filmi özellikle askerliğini yapanlar daha farklı bir gözden izlemiştir kesinlikle ve bende onlardan biri olarak gerçekten baştan sona gerçekçi güzel bir film izledim emeği geçenlere teşekkürler...,tarafsiz
filmin baştan itibaren 4 te 3 ü ağır aksak devam etse de arasıra parlayan küçük çıkışlar biraz kurtarıyor.Bence daha zengin bir senaryo ve kurgu yapılabilirdi.10 üzerinden 6-7 arası not verebilirim.Bu filmi ABD liler yapsaydı nasıl olurdu acaba?,tarafsiz
ya arkadaşlar ben anlamıyorum.bir takım milliyetçi duygularımızdan dolayı bu filme harika diyoruz.aslında film olarak bakarsak pek bi şey yok bence.ama yine de türk standartlarına göre başarılı sayılabilir.,tarafsiz
"Çok etkileyici bir film,tarafsız gözle izleyen bir yabancı bile bu filmden etkilenmiştir eminim.Türk askerinin hangi şartlarda,neyle mücadele ettğini,kendi vatanında yaşadığı çaresizliği yalansız ve abartısız bir şekilde göstermiş yönetmen.Oyuncularda Türk filmlerinde gösterilen en iyi performansa sahipler bence,özelliklede yüzbaşı rolünü muhteşem oynamış.Daha çok söz var söylenecek ama uzar gider:)en iyisi izleyin,izletin,imdb.com da oylayın.Oylayınki insanlar filmi izlesin ve bizimde istediğimizde neler yapabileceğimizi görsünler.",tarafsiz
"orada bi savaşın olduğu,türk askerininde ellerininn titreyebileceğini, korkabilieceğini kısacası onlarında insan olduğunu bazılarına gösterdiği için teşekkkürler.(alırız darmadağın ederiz 3 günlük işi var diyenlere) birde dağa çıkanların kandırılmadığı bir sebepleri olduğuna biraz olsun değinebildiği için teşekkürler(ama zamanlaması itabiriyle filmin ticari amaçlı olduğuna inandığımı soylemedende geçemeyeceğim)... ",tarafsiz
büyük bütçe ve teknolojiyle çekilmiş amerikan filmleri ile bizim yerli filmleri karşılaştırmaya bile gerek yok. basit bir tv filmiydi. beni duygulandıran yanları olmadı dersem yalan olur ama o kadar da olsun. gitmeyin derim değmez.,tarafsiz
"Yılmaz Erdoğan ın en iyi filmi olmadığı kesin. hatta bana, film yapmak yerine şiir okuması gerektiğini düşündüren bi eser olmuş. fazla dramatik.",tarafsiz
"Filmi çok beğenenler ve hiç beğenmeyenler arasında bır uçurum oluşmuş durumda.Ben de sırf hangı gruba dahil olucam diye meraktan gittim bu filme.Berbat,rezillik diyenler kadar acımasız olamıcam ama çok guzel,şahaser diyenler kadar da abartılı olamıcam.Sıradan bir hikaye ve sıradan bir film.Bence daha komik hale getirlebilir ve daha ince işlenebilirdi.Sanki öyle bir film yapayım ki BKM oyuncularına da ekmek kapısı olsun edasıyla yapılmış.",tarafsiz
"film benim gibi bu tarzdan hoşlananlar için oldukça iyi! kısaca basit, abartıdan ve aşırılıktan uzak ve gerçek bir film! sinemanın asıl amacı, insanlara kendi yaşamakta oldukları hayatın dışındaki yaşamları da göstermekse eğer; tam anlamıyla amacına ulaşan bir film! ben beğendim! bu tarzdan hoşlanmayanlar için bile gittiklerine pişman olmayacakları bir film! ",tarafsiz
bu filmin neresi güzeldi onu bi söylesenize.bence çok basit bi filmdi.köyde çocuklardan dayak yiyen levent üzümcü şehirde tam bi seri katil oldu ne hikmetse? zor bitirdim.levent üzümcü çok abartmıştı deli rolünü,tarafsiz
"Tek kelimeyle şaheser. Olumsuz eleştirileri anlamak mümkün değil. Dram ve komediyi Yılmaz Erdoğandan başkası bu kadar muhteşem işleyemezdi zaten.Hayatın içinden,sıcacık son zamanların en iyi Türk filmi. Filmden anlayanlar filmi izledikten sonra bana hak verecektir.",tarafsiz
Ne izleyeceğini bilerek gitmek lazım. Komedi değil dram değil ikisi de tam yok da biraz havada kalmış gibi. Film kötü değil fakat bu ekipten daha iyi bir iş beklerdim şahsen ama izlemeye değer.,tarafsiz
Bazı yorumları okudum ve çok üzüldüm. bence film muhteşemdi. Bugüne kadar yapılmış en iyi türk filmi. Bende doğuda askerlik yapmış biri olarak söylüyorum. Komutanın psikolojisi çok güzel aktarılmış. Final sahnesi çok karanlık ve hiç birşey anlaşılmıyor denmiş. Yanınızda makinalılar çalışırken keç kere sohbet etmiş bu yorumu yapan arkadaşlar merak ettim. Askerlik yapmamış insanlar anlayamaz. Filme gidecek insanlar şunu bilsin. Gerçeklerin ta kendisi...,tarafsiz
"Bu film hayatında daha önce savaş filmi izlememiş insanlar için harika, inanılmaz yada süper bir film olabilir. Ama benim için vasat bir film. Askerlerin psikolojik durumunu süper anlatıyor diyorsanız o halde daha The Thin Red Line izlememişsiniz demektir. Ben bu filmi destekliyorum, çok kötü bir film de değil ama abartılıyor.",tarafsiz
Film iyi ve kötü yanları diye ikiye ayırmak gerekirse iyi yanları senaryo güzel konsept iyi. Fakat çatışma sahnelerinde ne oluyor ne bitiyor ne mevzu belli ne de konuşmalar. Kapkaranlık bir ortam beni filmden soğuttu kim ne diyor duyulmuyor. Ne verdiğim paraya pişman oldum nede karşlığını alamadım vasatın üstü fakat çok büyük beklenti ile giderseniz biraz hayal kırıklığı.,tarafsiz
"hayretle izledim. biz böyle filmler yapabiliyor muyduk? bu filmi yapanların ellerine yüreklerine sağlık çok çarpıcı,harika bir film. bulutlar sahnesindeki komutanla doktor un konuşması sahnesi... çok çok çok iyi bir film. kaçıranlar üzülecek.. ",tarafsiz
"Bu filmi beğenmeyenler lütfen hiç birşeyi beğenmesinler bir daha da Türk filmine gidip o değerli paralarını sokağa atmasınlar. Bu film hakkında yapılan saçma sapan yorumların hep kasıtlı olduğunu düşünüyorum. Bir filmde ufacık bir gerçek olduğunda bu gerçeği kabul etmek neden bu kadar zor hala anlayamıyorum, siz olmayan dünyalarda ki olmayan kahramanlık öykülerini izlemeye devam edin hollywood belki bir gün size de amerikan bayrağının altında bir rol verir. Bu filmde emeği geçen herkese çok teşekkürler.",tarafsiz
"Çok etkileyiciydi. Aklımda bir sahne takıldı ki günümüz hayatına tokat gibiydi. ""Masaya yatırılmış kadın teröriste müdahale yapmaya çalışan doktor bir asker, bir taraftan komutanın sinirli tavırları ve arka plandaki televizyonda genç bir kızın güzellik yarışmasındaki yorumu..."" Ne güzelde ifade etmiş film hayatımızı, ya herkes nerde olduğunu bilecek ya da kızlarda askere gidecek",tarafsiz
"Durumun ne kadar hazin,duygularla oynayan,acıklı bir halde olduğunu anlatmak için arkaplanda bir anlatıcı ses kullanmak,müzik ve şiirlerle zaten duygu yüklü olan durumu daha da duygusallaştırmaya çalışmak bazen sömürü noktasına ulaşabiliyor. Filmde anlatılanlar doğru,gerçekten olan şeyler.hatta çok daha trajikleri yaşandı,yaşanıyor.Ancak sinemaya giden seyircinin izlediği şeyi yorumlama özgürlüğü olmalıdır;yani ne kadar hüzünlü,ne kadar saçma ya da ne kadar korkunç olduğu konusunda.Ama malesef bu filmde seyirciye bu şans tanınmamış.Herşey anlatılmış,yorumlanmış,olay bitirilmiş. 	",tarafsiz
"Emeği geçen herkesi tebrik ediyorum öncelikle. Ben böyle bir filmde sanatsal yönünü bırakmak lazım bir kenara; mesaja bakmak lazım. Binlerce şehit verdik biz bu ülkede yıllardır. Nice analar ağladı. İlk defa bu kadar güzel anlatan bir film çekilmişken sanatsal olarak eleştirmeye çalışıyoruz. Yazık bize valla. Son olarak bu filmi herkes izlemeli ve elini sol tarafına koyup ""Ne mutlu Türküm diyene"" diyebilmeli...",tarafsiz
"Güzel bir film , kardeşlik duyguları üzerine ama taklit değildir. bir arkadaş yağmur adam ile benzetmiş ama alakası yok desem :) bence izleyin pişman olmazsınız. diğer 5 para etmez yabancı filmleri izledikten sonra :)",tarafsiz
"Evrensel bağlamda bu topraklarda doğmamış yaşamamış insanlara bir şey ifade etmeyen bir hikaye izledik. Türk olarak hikayeden hepimiz etkilendik duygulandık, güzel bir konu reklam şeklinde pazarlandı, aldık gazı yutkunduk falan eyvallah. Ama bir sinema filmi olarak ele alındığında Türk eleştirmenler objektif yorum yazabilecek mi merak ediyorum.",tarafsiz
"İzlediğim en etkileyici filmlerden biriydi. Günlük sıkıntılarımız içinde ve belki de o kadar da büyük olmayan dertlerimizin aslında ne kadar küçük olduğunu, o dağlarda insanların ne şartlarda bulunduğunu, vatanı savunduğunu gösteren bir film. İzledikten sonra insanın hissettiklerini kelimelere dökemeyeceği hale gelmesine sebep oluyor kısacası.",tarafsiz
"Film teknik açıdan fena sayılmazdı ama gereğinden fazla uzun olması bende sıkıntı yarattı. Filmin en başarılı sahnesinin komutanın filmin başında, askerlere uyumamaları gerektiğini anlattığı içtima sahnesi olduğunu düşünüyorum.Kısaca bu filmi izlememek çok büyük bir kayıp değil bence.",tarafsiz
"Bu film izlenmeli arkadaşlar, bildiğimiz ama kulaklarımızı tıkadığımız gerçekleri yansıtmışlar. O psikoloji, o ortam ve bunların maalesef kurgu değil gerçek olması. Her savaş biter! Tüm şehitlerimizin ruhu şad olsun.",tarafsiz
"izlenmeli ve yine izlenmeli, birşeyler yazma ihtiyacı duyuyorum bu film için, ancak kelimelere dökemiyorum bir türlü. Neden acaba, filmin çoğu yerinin gerçeği yansıtmasından mı? hayal ürünü olduğunu varsayıp kamera açıları ve oyunculuklarla yönetmenin üstün başarısından mı? sonuçta başta yazdığım gibi izlenmeli.",tarafsiz
"Bakış açısına göre yorumlar değişebilir ancak gerçek herkes için aynıdır. Film kamera tektikleri açısından kaliteli, oyuncular paparazzilerdeki artislerden değil ve karakterlere uygun yüzler var. Ancak filmin en can alıcı noktası işlenmiş olan konunun işleniş şekli. Ne aşırı milliyetçi ne aşırı yandaş bir propaganda ne de bunun üstünden bir pay çıkarmaya çalışma çabası. Bunların hiçbirinin görülmemesi açıkcası beni şaşırttı. Bence psikolojik gerilimi oldukça iyi yansıtan bir film. Kamera teknikleri kaliteli. Hele çatışmanın ortasında askerin şuurunu yitirip telefonu komutanına götürmesi.",tarafsiz
13 yaşından küçükseniz gitmenizi tavsiye etmem zaten birkaç sahne biraz uyuz ama gerçekten mantıklı bir film türk yapımı biraz kalitesiz olması doğal ama insan abisini bir kez daha tanıyor seviyor ben abimle gittim ve gerçekten etkilendim hepinize tavsiye ederim...,tarafsiz
Tom Cruise Dustin Hofmanndan Yağmur Adamı izlemenizi tavsiye ederim. Cüneyt Arkının dönemin en iyi filmlerini taklit etme geleneğini yeni nesil oyuncu ve yapımcılarda sürdürüyor. Sinemaseverlerin karşısına özgün senaryolarla çıkın lütfen..,tarafsiz
bu filimin galasına peşin hukümlü gittim olmaz türkler bunu beceremez dedim AMA olmuş. harika harika harika koca koca adamlar ağlıyordu filimin sonunda hem güldük hem ağladık kesinlikle gidin seyredin pişman olmazsınız.,tarafsiz
Selamlar; Bu gece galasına katılma şansı bulduğum bu filim için yapılan bazı yorumların cok yersiz olduğunu belirtmek istedim. 1. si yağmur adam filimi ile bir benzerliği yok. 2. si daha önce yapılmış hiç bir türk filimine benzemiyor. Filimde çok ince espirilerle güldürdüğü gibi Levent üzümcü Mustafa üstündağ ile baş roller muhteşem oyunculuk gösterilmiş. Tavsiyemi Ciddiye Alırsanız Şahsen 2009 içinde yapılmış en muhteşem Türk Yapımı Filim Diye Bilirim Şiddetle Tavsiye ediyorum,tarafsiz
"Güzel bir durum psikolojisi filmi.Beğendim ;ama büyük beklenti içerisinde gittiğimden,beklentilerimi yeterince karşılayamadı. ",tarafsiz
filme sanatsal değilde siyaset gözüyle bakıldığı için çok beğenildi.tamam film konu olarak güzel ama sinema açısından tam bi felaketti ne görsellik vardı ne konular arasındaki balantı nede bütünlük sanatsal açıdan bize hiçbişey vermemesine rağmen 7 verdim.. ben bukadar abartılan başka bi film daha görmedim duygularımızı bi kenara bırakıp puanımızı ve yorumumuzu ona göre yapalım...,tarafsiz
